seat_id,x,y,z
left_seats.001,11.4201,-2.5649,13.0666
right_seats.001,11.4201,78.2663,13.0666
left_seats.002,11.4201,-3.3498,13.477
right_seats.002,11.4201,79.0513,13.477
left_seats.003,11.4201,-4.1348,13.8873
right_seats.003,11.4201,79.8362,13.8873
left_seats.004,11.4201,-4.9197,14.2977
right_seats.004,11.4201,80.6211,14.2977
left_seats.005,11.4201,-5.7046,14.708
right_seats.005,11.4201,81.4061,14.708
left_seats.006,11.4201,-6.4896,15.1184
right_seats.006,11.4201,82.191,15.1184
left_seats.007,11.4201,-7.2745,15.5287
right_seats.007,11.4201,82.9759,15.5287
left_seats.008,11.4201,-8.0594,15.9391
right_seats.008,11.4201,83.7609,15.9391
left_seats.009,11.4201,-8.8444,16.3494
right_seats.009,11.4201,84.5458,16.3494
left_seats.010,11.4201,-9.6293,16.7598
right_seats.010,11.4201,85.3307,16.7598
left_seats.011,11.8922,-2.5649,13.0666
right_seats.011,11.8922,78.2663,13.0666
left_seats.012,11.8922,-3.3498,13.477
right_seats.012,11.8922,79.0513,13.477
left_seats.013,11.8922,-4.1348,13.8873
right_seats.013,11.8922,79.8362,13.8873
left_seats.014,11.8922,-4.9197,14.2977
right_seats.014,11.8922,80.6211,14.2977
left_seats.015,11.8922,-5.7046,14.708
right_seats.015,11.8922,81.4061,14.708
left_seats.016,11.8922,-6.4896,15.1184
right_seats.016,11.8922,82.191,15.1184
left_seats.017,11.8922,-7.2745,15.5287
right_seats.017,11.8922,82.9759,15.5287
left_seats.018,11.8922,-8.0594,15.9391
right_seats.018,11.8922,83.7609,15.9391
left_seats.019,11.8922,-8.8444,16.3494
right_seats.019,11.8922,84.5458,16.3494
left_seats.020,11.8922,-9.6293,16.7598
right_seats.020,11.8922,85.3307,16.7598
left_seats.021,12.3643,-2.5649,13.0666
right_seats.021,12.3643,78.2663,13.0666
left_seats.022,12.3643,-3.3498,13.477
right_seats.022,12.3643,79.0513,13.477
left_seats.023,12.3643,-4.1348,13.8873
right_seats.023,12.3643,79.8362,13.8873
left_seats.024,12.3643,-4.9197,14.2977
right_seats.024,12.3643,80.6211,14.2977
left_seats.025,12.3643,-5.7046,14.708
right_seats.025,12.3643,81.4061,14.708
left_seats.026,12.3643,-6.4896,15.1184
right_seats.026,12.3643,82.191,15.1184
left_seats.027,12.3643,-7.2745,15.5287
right_seats.027,12.3643,82.9759,15.5287
left_seats.028,12.3643,-8.0594,15.9391
right_seats.028,12.3643,83.7609,15.9391
left_seats.029,12.3643,-8.8444,16.3494
right_seats.029,12.3643,84.5458,16.3494
left_seats.030,12.3643,-9.6293,16.7598
right_seats.030,12.3643,85.3307,16.7598
left_seats.031,12.8364,-2.5649,13.0666
right_seats.031,12.8364,78.2663,13.0666
left_seats.032,12.8364,-3.3498,13.477
right_seats.032,12.8364,79.0513,13.477
left_seats.033,12.8364,-4.1348,13.8873
right_seats.033,12.8364,79.8362,13.8873
left_seats.034,12.8364,-4.9197,14.2977
right_seats.034,12.8364,80.6211,14.2977
left_seats.035,12.8364,-5.7046,14.708
right_seats.035,12.8364,81.4061,14.708
left_seats.036,12.8364,-6.4896,15.1184
right_seats.036,12.8364,82.191,15.1184
left_seats.037,12.8364,-7.2745,15.5287
right_seats.037,12.8364,82.9759,15.5287
left_seats.038,12.8364,-8.0594,15.9391
right_seats.038,12.8364,83.7609,15.9391
left_seats.039,12.8364,-8.8444,16.3494
right_seats.039,12.8364,84.5458,16.3494
left_seats.040,12.8364,-9.6293,16.7598
right_seats.040,12.8364,85.3307,16.7598
left_seats.041,13.3085,-2.5649,13.0666
right_seats.041,13.3085,78.2663,13.0666
left_seats.042,13.3085,-3.3498,13.477
right_seats.042,13.3085,79.0513,13.477
left_seats.043,13.3085,-4.1348,13.8873
right_seats.043,13.3085,79.8362,13.8873
left_seats.044,13.3085,-4.9197,14.2977
right_seats.044,13.3085,80.6211,14.2977
left_seats.045,13.3085,-5.7046,14.708
right_seats.045,13.3085,81.4061,14.708
left_seats.046,13.3085,-6.4896,15.1184
right_seats.046,13.3085,82.191,15.1184
left_seats.047,13.3085,-7.2745,15.5287
right_seats.047,13.3085,82.9759,15.5287
left_seats.048,13.3085,-8.0594,15.9391
right_seats.048,13.3085,83.7609,15.9391
left_seats.049,13.3085,-8.8444,16.3494
right_seats.049,13.3085,84.5458,16.3494
left_seats.050,13.3085,-9.6293,16.7598
right_seats.050,13.3085,85.3307,16.7598
left_seats.051,13.7806,-2.5649,13.0666
right_seats.051,13.7806,78.2663,13.0666
left_seats.052,13.7806,-3.3498,13.477
right_seats.052,13.7806,79.0513,13.477
left_seats.053,13.7806,-4.1348,13.8873
right_seats.053,13.7806,79.8362,13.8873
left_seats.054,13.7806,-4.9197,14.2977
right_seats.054,13.7806,80.6211,14.2977
left_seats.055,13.7806,-5.7046,14.708
right_seats.055,13.7806,81.4061,14.708
left_seats.056,13.7806,-6.4896,15.1184
right_seats.056,13.7806,82.191,15.1184
left_seats.057,13.7806,-7.2745,15.5287
right_seats.057,13.7806,82.9759,15.5287
left_seats.058,13.7806,-8.0594,15.9391
right_seats.058,13.7806,83.7609,15.9391
left_seats.059,13.7806,-8.8444,16.3494
right_seats.059,13.7806,84.5458,16.3494
left_seats.060,13.7806,-9.6293,16.7598
right_seats.060,13.7806,85.3307,16.7598
left_seats.061,14.2527,-2.5649,13.0666
right_seats.061,14.2526,78.2663,13.0666
left_seats.062,14.2527,-3.3498,13.477
right_seats.062,14.2526,79.0513,13.477
left_seats.063,14.2527,-4.1348,13.8873
